DIALOGUE_PLAYER_BRUISE_EXAMINE_L1,""Vết bầm tím trên tay. Đau."",""Bruise on arm. Hurts.""
DIALOGUE_PLAYER_BRUISE_EXAMINE_L2,""Vết bầm... từ đâu ra?"",""Where did this bruise come from?""
LORE_OWN_DIARY_L1,""[Nhật ký riêng] 'Tao nhớ... điều gì đó.'"",""[Own diary] 'I remember... something.'""
LORE_OWN_DIARY_L2,""Những trang cuối bị rách."",""Last pages are torn.""
LORE_OWN_DIARY_L3,""Chữ viết run rẩy: 'Mẹ đã chết. CHẾT RỒI!'"",""Shaky handwriting: 'Mom is dead. DEAD!'""
LORE_REPORT_CARD_L1,""Bảng điểm cũ. Toàn điểm F."",""Old report card. All Fs.""
LORE_REPORT_CARD_L2,""Chữ viết của giáo viên: 'Cần gặp phụ huynh.'"",""Teacher's note: 'Need to meet parents.'""
LORE_PHONE_CHARGER_L1,""Sạc điện thoại. Không có điện thoại."",""Phone charger. No phone.""
LORE_PHONE_CHARGER_L2,""Điện thoại... ở đâu rồi?"",""Where's... the phone?""
LORE_PHOTO_ALBUM_L1,""Album ảnh. Nhiều ảnh bị rách."",""Photo album. Many torn photos.""
LORE_PHOTO_ALBUM_L2,""Những khuôn mặt đã mất."",""The faces are gone.""
LORE_CLOCK_FROZEN_L1,""Đồng hồ dừng lại. 3:47 PM."",""Clock stopped. 3:47 PM.""
LORE_CLOCK_FROZEN_L2,""Luôn luôn là 3:47 PM."",""Always 3:47 PM.""
DIALOGUE_MIKA,""..."",""...""
